"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"b3931",4846.63210319863,0.955763959518911,0.170767665830559,5.59686726916588,2.18259674197098e-08,1.04263236254965e-07
"b3932",1574.39411362795,0.92434709012759,0.194700832817544,4.74752509658653,2.05920845484885e-06,7.68940340270142e-06
"b3935",1075.65160568995,-0.682692987426812,0.207995255106919,-3.28225269886987,0.00102981272191069,0.00243504212170855
"b3938",2723.2140235293,2.27085343131648,0.276846691654467,8.20256661817271,2.35308264351064e-16,2.61988886450712e-15
"b3939",1117.26213798948,1.54401673553722,0.320944755649359,4.81084893383988,1.50290579874382e-06,5.73320719269001e-06
"b3941",1730.52729071872,3.63455019582079,0.37558525392009,9.67703113443875,3.77519572010674e-22,6.64497105588913e-21
"b3942",16724.3736248205,1.87766667047453,0.218658792390863,8.58719948987057,8.91148255525259e-18,1.12843310445915e-16
"b3944",60.5581133645236,-1.76401278913246,0.509600163680843,-3.46156244611656,0.000537049512681267,0.00133930866125452
"b3945",2276.78740648594,1.51783475654282,0.277477823231124,5.47011194937385,4.49751402648306e-08,2.0558679418471e-07
"b3946",114.963519654563,1.14774274147382,0.349471239829374,3.2842265991164,0.00102262664333116,0.00242201318630907
"b3951",308.789143846311,0.73222694062528,0.25409154211121,2.8817446442385,0.00395480092606162,0.00828866873930504
"b3955",1136.91438477807,-0.91903486433068,0.193142470364439,-4.75832613405308,1.95204927508116e-06,7.31501150609036e-06
"b3956",7374.21017376895,1.80117563527937,0.199530624740612,9.02706357793888,1.76339971063817e-19,2.60639079182129e-18
"b3957",818.717883251213,0.460279086310487,0.202007613967319,2.2785234539969,0.0226954087360873,0.0398319916667283
"b3960",990.759310348041,0.860365544962465,0.19347702436818,4.44686157321305,8.71339467173397e-06,2.99531768213092e-05
"b3961",2903.1704985182,1.39627089579217,0.176969433569827,7.88989865439808,3.02432033654472e-15,3.04008693545562e-14
"b3963",2348.07866575874,-0.480235846107135,0.179520179079028,-2.67510788241654,0.00747052063459536,0.014732658545771
"b3964",1697.94732148194,-0.660206854680624,0.208622103839468,-3.16460644644176,0.00155292845895147,0.00351522012960093
"b3965",2661.93632339045,-0.715913259385961,0.189247780900165,-3.78294136914415,0.000154985931959706,0.000426362077414443
"b3966",1372.34058271396,-0.569559490627821,0.202663434800557,-2.81037125018793,0.00494843831723766,0.0101016724454871
"b3967",48.5779780364146,1.20322552995131,0.520700348143347,2.31078303335428,0.0208448421309067,0.0369510323106169
"b3972",451.917137284268,-0.635610043499677,0.252207389697042,-2.52018802566882,0.0117292161019083,0.0220546696384286
"b3973",952.487732334196,-1.05286418124151,0.207246203271471,-5.08025799566695,3.76922621410252e-07,1.54483648311332e-06
"b3974",776.457226310232,-2.0095154777061,0.223661602369217,-8.98462434508012,2.59619652604894e-19,3.77159782996562e-18
"b3980",34033.4145805924,-1.21529184337946,0.17539855491155,-6.92874490324225,4.24590632734317e-12,3.08409839736126e-11
"b3981",5526.42184163657,-0.662364119303243,0.18334152802765,-3.61273371302628,0.000302985810096659,0.00078754032256742
"b3982",5853.21089367974,-0.781643715224061,0.191298952181825,-4.08598011807784,4.38911368908997e-05,0.00013214066904982
"b3983",15831.6313250146,-0.875319058175665,0.186764500389419,-4.68675286979354,2.77573804154923e-06,1.01593449286038e-05
"b3984",36302.5001391222,-0.94306548594752,0.201812040436298,-4.6729892027686,2.96847377904547e-06,1.07995418273678e-05
"b3985",29973.1547879233,-1.15830445395359,0.181328974677035,-6.38786192894239,1.68221116282331e-10,1.03720054545007e-09
"b3986",24214.9667217296,-1.0889410826667,0.184428793081351,-5.90439846443266,3.53935772353853e-09,1.84220312432521e-08
"b3988",70998.971842155,1.0160435626254,0.175507886995327,5.78916184349283,7.07385141790311e-09,3.56380970483907e-08
"b3989",263.215986832799,-1.5277566564898,0.280991967580979,-5.43701184643121,5.41815371460257e-08,2.4347254298034e-07
"b3990",4039.38768434295,1.0717855705448,0.241281143712487,4.44206104983466,8.91012698456395e-06,3.05799018353724e-05
"b3991",2755.95766685487,1.04012870832696,0.24630803963028,4.22287762059348,2.41202803100345e-05,7.65365076732525e-05
"b3992",2213.03200263332,0.777538211816857,0.249343272505871,3.11834445743287,0.00181870110451155,0.00405835354304997
"b3994",4506.06757282061,-0.565158093830699,0.205253052603433,-2.75346985909454,0.00589671996526587,0.0118148605105262
"b3995",2113.66929685844,0.626190361592576,0.218607035059088,2.86445658724259,0.00417725409651425,0.00869475558263663
"b3997",2883.42086569521,0.477168909865642,0.172721549309833,2.76264838853248,0.00573344934805726,0.011532144207899
"b4000",5019.83676215257,-0.460978105252409,0.203757476349004,-2.262386212827,0.0236735520041707,0.0413604644158535
"b4001",388.647989607545,-0.633636194254822,0.240107575840509,-2.6389679377535,0.00831588453705191,0.0162087046476452
"b4002",48.4469263948869,-2.0072054982765,0.563972479676843,-3.55904866036482,0.000372200573492184,0.000954002920092957
"b4005",1726.20273169859,1.48601450848256,0.200192187297093,7.42293956895159,1.1454905032826e-13,1.01656291107213e-12
"b4006",1504.25113148269,0.671578212362969,0.18912412815072,3.55099171602136,0.000383782496326535,0.000980726114106723
"b4013",591.67734979061,2.98111710171363,0.371258212131674,8.0297674348987,9.76576101383005e-16,1.01784663932843e-14
"b4014",48372.8858605664,3.57232234481605,0.260337590626244,13.7218844816947,7.50880699415131e-43,3.38854885842445e-41
"b4015",112034.86944956,3.35969854730218,0.262974114119104,12.7757766522242,2.23901506244519e-37,8.71367146320413e-36
"b4016",24660.2398499836,3.66863675065072,0.266759840171329,13.7525826537252,4.91433796448282e-43,2.26593713536262e-41
"b4018",5277.10171036635,1.71319499437203,0.203187645802528,8.43159035385961,3.40998853817916e-17,4.13290610827314e-16
"b4019",4056.59099568488,1.06571822745222,0.19259409555964,5.53349376758127,3.13914142527333e-08,1.46787744242703e-07
"b4020",1150.36955350462,0.907628447609118,0.201986018024783,4.49352116787488,7.00550542315934e-06,2.42788839910473e-05
"b4021",618.709623485052,-1.48357909711901,0.271307556216074,-5.468255723543,4.54485863395724e-08,2.07304197045662e-07
"b4023",993.259036651478,0.852148283294009,0.217828742322054,3.91201029859563,9.15310075734692e-05,0.000261816948163625
"b4025",10351.1595213319,1.00601627845153,0.170710162828862,5.89312470787147,3.78960184304476e-09,1.9676243596323e-08
